product_type,sku,price,availability,number_of_products_sold,revenue_generated,stock_levels,lead_times,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs,defect_rate_pct,supplier_risk_score
cosmetics,SKU00031,24.91,177,1801,31448.62,128,25,42,10,Carrier A,54.29,Supplier_2,Delhi,2955,7,206.04,Pass,0.0407,Road,Route C,1662.83,4.07,50.47
cosmetics,SKU00032,129.76,489,944,45650.9,312,2,257,8,Carrier A,116.32,Supplier_1,Chennai,2320,17,158.45,Pass,0.0799,Air,Route A,1485.28,7.99,33.36
accessories,SKU00033,232.69,316,764,3052.85,912,7,280,9,Carrier A,116.48,Supplier_5,Mumbai,553,9,134.8,Pass,0.1016,Sea,Route B,403.44,10.16,49.21
accessories,SKU00034,214.32,179,56,44593.32,977,19,335,3,Carrier A,151.02,Supplier_5,Mumbai,4863,18,61.62,Pass,0.1023,Air,Route A,353.18,10.23,66.64
accessories,SKU00035,62.69,432,1852,43877.99,165,7,326,9,Carrier B,187.3,Supplier_3,Mumbai,1316,9,201.04,Pass,0.0992,Sea,Route B,1648.93,9.92,48.25
cosmetics,SKU00036,45.39,138,449,31480.51,919,29,138,9,Carrier B,185.59,Supplier_4,Delhi,4613,15,68.1,Pass,0.011,Sea,Route A,1536.66,1.1,44.26
cosmetics,SKU00037,99.82,170,1189,21530.71,329,26,49,6,Carrier A,102.91,Supplier_3,Mumbai,936,17,319.61,Pass,0.0086,Rail,Route C,144.05,0.86,39.01
skincare,SKU00038,231.64,444,853,35276.9,139,24,17,10,Carrier C,56.24,Supplier_2,Chennai,3732,8,174.32,Pass,0.129,Air,Route B,859.14,12.9,84.5
accessories,SKU00039,148.98,95,1094,12271.47,211,11,488,2,Carrier A,52.23,Supplier_2,Chennai,3562,5,388.12,Pass,0.0221,Air,Route A,577.29,2.21,23.0
skincare,SKU00040,277.34,441,241,33415.54,526,3,55,3,Carrier B,158.37,Supplier_3,Chennai,3278,10,470.01,Pass,0.0544,Road,Route C,1129.0,5.44,24.54
haircare,SKU00041,198.63,1,1636,34743.53,987,4,89,12,Carrier A,153.25,Supplier_3,Chennai,1471,9,445.74,Pending,0.1261,Road,Route A,931.31,12.61,54.77
accessories,SKU00042,188.17,4,323,27041.13,959,17,26,7,Carrier B,159.84,Supplier_3,Bangalore,1878,7,374.97,Fail,0.0067,Air,Route A,959.78,0.67,25.39
haircare,SKU00043,231.47,68,1250,13077.73,92,7,138,11,Carrier A,167.53,Supplier_1,Kolkata,588,15,394.63,Pass,0.1287,Rail,Route B,1261.51,12.87,60.1
accessories,SKU00044,226.33,307,511,205.14,367,22,258,8,Carrier C,115.18,Supplier_3,Chennai,3325,9,64.18,Pass,0.0981,Road,Route C,1559.37,9.81,69.24
cosmetics,SKU00045,106.43,425,1349,9869.33,861,23,370,13,Carrier A,180.01,Supplier_3,Delhi,4124,8,486.69,Pass,0.0581,Road,Route A,1784.89,5.81,54.6
haircare,SKU00046,80.82,422,188,41705.4,948,7,293,9,Carrier C,133.15,Supplier_4,Mumbai,1266,11,296.55,Pass,0.036,Rail,Route C,996.55,3.6,22.87
haircare,SKU00047,134.1,312,315,10692.49,300,8,175,6,Carrier A,128.12,Supplier_5,Chennai,2245,17,280.7,Fail,0.0782,Road,Route C,786.86,7.82,41.24
skincare,SKU00048,149.33,320,1805,3809.11,246,28,313,13,Carrier C,168.22,Supplier_2,Bangalore,2977,4,343.54,Pass,0.1237,Road,Route A,1717.48,12.37,88.09
haircare,SKU00049,46.81,495,1208,12407.07,952,17,439,12,Carrier B,132.16,Supplier_4,Delhi,4041,11,109.96,Pending,0.0303,Sea,Route B,97.46,3.03,34.87
haircare,SKU00050,135.19,474,1625,26006.72,381,3,35,12,Carrier A,154.73,Supplier_2,Delhi,2599,2,245.59,Pass,0.037,Sea,Route B,1551.39,3.7,17.56
cosmetics,SKU00051,193.75,34,712,29355.06,750,25,126,12,Carrier C,186.32,Supplier_4,Delhi,1671,2,78.52,Pass,0.075,Rail,Route A,155.99,7.5,64.25
accessories,SKU00052,45.04,280,1525,43869.64,343,24,222,5,Carrier C,82.11,Supplier_4,Mumbai,3272,18,461.0,Pass,0.1215,Rail,Route B,626.28,12.15,81.49
skincare,SKU00053,45.72,183,151,42752.34,263,18,163,8,Carrier B,151.46,Supplier_3,Chennai,1797,7,259.91,Pass,0.0625,Rail,Route B,1849.86,6.25,49.23
accessories,SKU00054,56.25,67,1434,48440.13,891,7,392,13,Carrier C,63.21,Supplier_2,Bangalore,2899,5,83.59,Pending,0.0617,Rail,Route B,656.17,6.17,33.19
accessories,SKU00055,88.58,397,266,44224.98,509,22,349,12,Carrier B,99.86,Supplier_2,Delhi,2839,3,485.51,Pass,0.1444,Sea,Route C,145.99,14.44,87.83
accessories,SKU00056,288.7,271,1287,22567.85,524,12,450,7,Carrier C,175.34,Supplier_4,Mumbai,3377,13,298.76,Pass,0.0802,Rail,Route A,296.63,8.02,47.76
cosmetics,SKU00057,12.61,330,959,7179.76,161,29,431,11,Carrier B,194.85,Supplier_4,Kolkata,441,9,382.49,Fail,0.118,Air,Route B,1915.23,11.8,87.23
skincare,SKU00058,59.2,258,1263,47793.44,257,25,76,9,Carrier B,189.78,Supplier_5,Chennai,655,9,405.52,Pass,0.101,Sea,Route C,849.6,10.1,74.69
cosmetics,SKU00059,53.69,33,525,11515.23,407,9,443,2,Carrier A,152.74,Supplier_2,Delhi,4886,7,354.06,Pass,0.0822,Road,Route A,768.18,8.22,44.28
skincare,SKU00060,144.93,433,210,31143.77,503,26,387,9,Carrier B,170.43,Supplier_2,Mumbai,1771,16,232.95,Pending,0.0651,Air,Route B,1814.38,6.51,61.7
skincare,SKU00061,9.45,200,1530,13296.89,26,26,151,2,Carrier A,177.48,Supplier_2,Delhi,753,7,154.6,Fail,0.0982,Sea,Route C,1704.6,9.82,74.99
skincare,SKU00062,140.16,109,922,40859.56,306,8,187,12,Carrier A,123.93,Supplier_5,Bangalore,586,2,44.74,Pass,0.1248,Sea,Route C,531.51,12.48,59.96
haircare,SKU00063,53.06,318,244,10118.63,681,16,270,6,Carrier A,52.49,Supplier_3,Kolkata,4574,16,319.5,Pass,0.0216,Sea,Route B,283.99,2.16,29.94
accessories,SKU00064,84.54,152,837,21097.15,576,21,184,3,Carrier A,8.46,Supplier_2,Chennai,4110,7,72.85,Pending,0.0405,Road,Route C,1795.33,4.05,44.68
haircare,SKU00065,238.77,343,27,11063.03,593,6,211,7,Carrier C,153.42,Supplier_5,Kolkata,3331,18,197.24,Pass,0.0316,Road,Route B,793.39,3.16,19.67
haircare,SKU00066,59.3,255,1758,43042.23,883,25,394,2,Carrier A,153.26,Supplier_5,Bangalore,3724,16,447.0,Pass,0.1215,Air,Route A,947.93,12.15,82.92
haircare,SKU00067,187.05,225,1993,31009.2,271,4,341,9,Carrier C,147.55,Supplier_4,Mumbai,3844,15,453.95,Pass,0.0486,Sea,Route B,356.88,4.86,23.64
accessories,SKU00068,124.86,49,801,31577.97,49,21,371,11,Carrier C,118.12,Supplier_5,Delhi,3809,6,414.58,Pass,0.0673,Air,Route B,850.75,6.73,55.44
cosmetics,SKU00069,128.19,94,625,15793.42,13,10,121,8,Carrier B,133.29,Supplier_4,Delhi,1128,15,112.74,Pass,0.077,Rail,Route C,1792.48,7.7,43.62
accessories,SKU00070,245.97,432,1258,8906.94,898,28,19,5,Carrier C,145.09,Supplier_2,Mumbai,4316,17,471.94,Pass,0.1435,Rail,Route A,1822.06,14.35,96.04
haircare,SKU00071,52.47,482,1019,42881.14,939,4,421,12,Carrier B,108.67,Supplier_1,Bangalore,4471,17,87.23,Pass,0.0006,Road,Route C,420.37,0.06,4.37
cosmetics,SKU00072,277.52,276,1514,38253.55,530,10,308,1,Carrier C,133.42,Supplier_5,Mumbai,1185,17,460.83,Pass,0.0277,Sea,Route C,1302.9,2.77,23.82
skincare,SKU00073,268.58,233,420,36748.82,124,23,359,11,Carrier C,48.74,Supplier_5,Mumbai,2725,18,379.41,Fail,0.1303,Sea,Route B,326.04,13.03,83.6
skincare,SKU00074,202.15,89,759,49857.23,69,12,135,10,Carrier A,109.16,Supplier_2,Chennai,181,6,485.98,Pass,0.0686,Sea,Route C,1036.25,6.86,43.1
haircare,SKU00075,19.59,358,417,28020.67,327,17,95,2,Carrier C,127.58,Supplier_3,Delhi,2125,4,492.41,Pass,0.0551,Air,Route B,1579.62,5.51,44.83
cosmetics,SKU00076,200.68,323,1897,9009.98,108,8,189,13,Carrier B,115.89,Supplier_3,Kolkata,2903,4,272.03,Fail,0.1416,Sea,Route B,555.04,14.16,66.71
accessories,SKU00077,182.1,267,804,30516.08,25,2,163,5,Carrier A,55.15,Supplier_4,Chennai,1044,18,169.85,Fail,0.0161,Sea,Route C,1197.96,1.61,7.73
cosmetics,SKU00078,232.8,134,1283,14436.11,271,1,27,13,Carrier A,29.72,Supplier_4,Delhi,3364,3,460.79,Pass,0.0023,Air,Route C,429.19,0.23,0.76
haircare,SKU00079,68.08,40,1579,25695.66,383,26,174,12,Carrier C,132.63,Supplier_3,Chennai,939,4,170.48,Pass,0.136,Road,Route C,594.98,13.6,90.17
cosmetics,SKU00080,286.24,484,1237,23020.23,829,24,312,3,Carrier C,26.95,Supplier_3,Chennai,2220,18,179.69,Pass,0.123,Sea,Route B,1299.1,12.3,82.09
skincare,SKU00081,266.43,118,78,28220.02,401,18,465,10,Carrier B,159.88,Supplier_4,Mumbai,4327,6,293.11,Pass,0.0806,Rail,Route A,706.96,8.06,56.49
accessories,SKU00082,38.74,326,1976,46076.67,716,20,480,8,Carrier B,40.5,Supplier_1,Bangalore,3628,13,88.05,Pass,0.0399,Air,Route C,473.76,3.99,43.01
accessories,SKU00083,97.98,31,1674,40529.02,533,13,233,1,Carrier A,155.53,Supplier_1,Delhi,4851,16,238.92,Pass,0.1167,Air,Route A,676.38,11.67,63.85
haircare,SKU00084,14.57,341,613,20815.96,834,16,461,5,Carrier B,74.36,Supplier_5,Mumbai,304,2,86.1,Pass,0.0237,Road,Route B,1536.14,2.37,30.79
cosmetics,SKU00085,250.13,95,1980,40884.9,323,5,311,9,Carrier A,180.76,Supplier_1,Delhi,2149,3,237.49,Fail,0.064,Sea,Route A,863.6,6.4,31.26
accessories,SKU00086,274.95,349,1782,43040.05,972,3,385,2,Carrier B,49.0,Supplier_1,Delhi,4381,15,455.5,Pass,0.0257,Road,Route B,1221.99,2.57,13.02
accessories,SKU00087,296.99,100,1118,38721.46,249,14,466,2,Carrier A,35.74,Supplier_2,Chennai,3645,19,461.72,Fail,0.061,Road,Route C,557.63,6.1,42.91
cosmetics,SKU00088,185.52,247,866,27614.29,115,29,437,7,Carrier C,136.64,Supplier_3,Bangalore,3956,2,480.0,Pending,0.0009,Road,Route B,1266.14,0.09,40.2
cosmetics,SKU00089,201.47,207,720,44977.33,785,27,204,7,Carrier B,155.86,Supplier_2,Mumbai,3522,18,368.05,Pass,0.0689,Road,Route B,132.48,6.89,64.65
haircare,SKU00090,205.13,256,511,24648.85,550,16,168,12,Carrier A,73.15,Supplier_1,Bangalore,1676,19,378.32,Pass,0.0679,Rail,Route C,160.95,6.79,48.54
cosmetics,SKU00091,173.19,160,467,5387.17,278,17,473,13,Carrier C,97.04,Supplier_4,Kolkata,2519,1,225.02,Pending,0.1473,Rail,Route B,473.43,14.73,81.85
skincare,SKU00092,285.96,168,245,13679.03,166,24,461,12,Carrier B,134.05,Supplier_4,Chennai,465,18,449.42,Pass,0.0569,Sea,Route B,1589.81,5.69,55.55
haircare,SKU00093,184.32,181,365,32909.9,332,14,153,1,Carrier C,62.56,Supplier_1,Mumbai,2453,13,84.37,Pass,0.0798,Air,Route C,391.5,7.98,50.46
haircare,SKU00094,104.04,318,1959,19018.41,635,11,214,8,Carrier C,80.86,Supplier_1,Delhi,3178,14,99.93,Pass,0.0227,Sea,Route A,868.27,2.27,23.24
cosmetics,SKU00095,156.3,408,646,21198.69,491,18,16,11,Carrier A,115.39,Supplier_1,Bangalore,2810,18,76.77,Fail,0.0423,Rail,Route C,1987.2,4.23,41.11
cosmetics,SKU00096,10.51,183,426,20170.22,114,15,376,7,Carrier B,64.07,Supplier_2,Bangalore,397,6,216.05,Pass,0.0344,Sea,Route B,504.15,3.44,33.65
cosmetics,SKU00097,218.62,10,1703,9682.63,273,16,60,7,Carrier A,33.47,Supplier_3,Chennai,1798,11,48.72,Pass,0.146,Rail,Route B,335.16,14.6,79.9
cosmetics,SKU00098,209.71,97,1190,4767.25,513,1,394,1,Carrier B,182.18,Supplier_5,Delhi,180,6,357.8,Pass,0.0191,Sea,Route C,588.65,1.91,7.51
accessories,SKU00099,129.21,51,6,2549.13,726,19,349,13,Carrier A,28.91,Supplier_1,Kolkata,3753,11,107.72,Pass,0.0963,Sea,Route B,1087.37,9.63,64.23
cosmetics,SKU00100,256.19,314,503,33658.12,577,12,224,7,Carrier C,197.45,Supplier_1,Delhi,397,10,350.87,Pass,0.1248,Rail,Route B,1799.28,12.48,65.67
skincare,SKU00101,227.88,403,1571,16273.09,83,6,196,12,Carrier A,169.68,Supplier_4,Chennai,2147,12,290.53,Fail,0.1414,Sea,Route B,111.28,14.14,63.77
cosmetics,SKU00102,104.32,106,550,22897.19,136,23,472,7,Carrier B,92.15,Supplier_3,Bangalore,514,13,352.04,Pass,0.1058,Sea,Route C,1086.44,10.58,73.76
cosmetics,SKU00103,27.86,266,1334,46766.15,323,5,418,1,Carrier A,172.83,Supplier_2,Kolkata,2572,11,357.17,Pass,0.0271,Road,Route B,84.57,2.71,16.44
haircare,SKU00104,44.01,238,1160,31370.59,702,6,419,3,Carrier C,17.54,Supplier_5,Delhi,390,3,397.38,Pass,0.138,Air,Route B,1984.05,13.8,62.4
haircare,SKU00105,59.36,219,38,40551.64,420,1,271,9,Carrier C,114.7,Supplier_2,Bangalore,990,12,249.88,Pass,0.0774,Rail,Route C,940.58,7.74,30.92
cosmetics,SKU00106,94.66,442,255,38140.22,120,22,390,4,Carrier B,73.94,Supplier_5,Kolkata,456,10,293.85,Pass,0.0792,Sea,Route C,1368.91,7.92,61.65
skincare,SKU00107,137.02,133,139,47690.14,258,25,345,12,Carrier A,63.65,Supplier_3,Delhi,4880,13,140.34,Pass,0.1339,Sea,Route C,553.07,13.39,87.9
cosmetics,SKU00108,278.76,311,1645,3434.35,587,12,455,5,Carrier A,179.49,Supplier_2,Bangalore,4386,9,260.53,Pass,0.0024,Rail,Route A,974.25,0.24,16.52
skincare,SKU00109,87.13,271,1470,19268.68,839,1,182,4,Carrier B,12.46,Supplier_5,Bangalore,480,19,62.97,Pass,0.1079,Sea,Route A,1655.98,10.79,43.17
haircare,SKU00110,270.08,437,258,47485.64,234,14,256,5,Carrier A,173.1,Supplier_5,Delhi,3918,1,478.21,Fail,0.1142,Road,Route C,280.11,11.42,64.27
haircare,SKU00111,205.74,110,1346,23275.22,354,8,297,10,Carrier A,20.35,Supplier_2,Chennai,3612,2,465.97,Pass,0.1005,Rail,Route C,469.02,10.05,50.2
skincare,SKU00112,256.78,466,316,47395.22,231,7,66,4,Carrier A,137.1,Supplier_4,Mumbai,2325,18,55.31,Pass,0.0291,Sea,Route B,641.94,2.91,20.1
accessories,SKU00113,123.96,429,626,9324.58,420,17,352,4,Carrier C,60.7,Supplier_2,Bangalore,3337,5,25.2,Pass,0.137,Air,Route A,1652.63,13.7,77.72
skincare,SKU00114,5.97,224,1373,3106.26,458,21,36,13,Carrier C,107.75,Supplier_2,Kolkata,1843,12,209.63,Pass,0.0359,Air,Route C,1804.78,3.59,42.83
skincare,SKU00115,237.16,412,1722,44783.77,468,15,194,3,Carrier B,185.43,Supplier_2,Chennai,1788,1,272.85,Pass,0.0486,Air,Route A,1512.28,4.86,39.36
cosmetics,SKU00116,77.42,323,594,20621.53,154,10,242,6,Carrier C,160.49,Supplier_2,Chennai,3919,17,250.01,Pass,0.1252,Road,Route A,528.3,12.52,62.98
accessories,SKU00117,47.03,160,420,25462.93,830,27,250,5,Carrier A,24.34,Supplier_4,Bangalore,4885,2,181.98,Pending,0.1381,Sea,Route B,665.74,13.81,92.44
skincare,SKU00118,240.85,426,42,46820.16,562,16,337,5,Carrier C,64.51,Supplier_2,Kolkata,1909,5,318.77,Pass,0.0395,Rail,Route C,1484.05,3.95,37.13
cosmetics,SKU00119,207.47,12,853,11049.53,218,7,423,4,Carrier C,100.16,Supplier_5,Delhi,278,4,212.27,Pass,0.0719,Air,Route A,917.14,7.19,37.29
skincare,SKU00120,67.66,69,1134,48413.03,416,24,58,2,Carrier C,144.78,Supplier_4,Mumbai,2553,18,214.87,Pass,0.1275,Road,Route B,728.13,12.75,83.9
cosmetics,SKU00121,83.94,443,230,19887.85,828,4,465,13,Carrier A,6.09,Supplier_1,Bangalore,1436,18,35.52,Pass,0.0807,Sea,Route B,1993.01,8.07,36.53
skincare,SKU00122,282.07,396,1326,12446.17,730,26,215,13,Carrier B,173.47,Supplier_1,Bangalore,4107,1,304.78,Pass,0.0342,Road,Route B,550.0,3.42,49.29
cosmetics,SKU00123,84.22,149,1291,11761.84,948,5,181,4,Carrier B,169.16,Supplier_1,Bangalore,1754,6,59.85,Pass,0.0557,Road,Route A,1569.88,5.57,27.92
cosmetics,SKU00124,212.21,492,315,25970.6,563,17,335,12,Carrier C,191.46,Supplier_5,Chennai,3601,14,431.94,Fail,0.0948,Road,Route B,394.0,9.48,60.77
cosmetics,SKU00125,43.22,328,174,23401.61,266,15,42,6,Carrier A,44.48,Supplier_2,Mumbai,3245,12,249.16,Pass,0.1086,Road,Route C,1828.71,10.86,63.45
accessories,SKU00126,245.44,121,393,44316.41,143,28,457,11,Carrier C,46.58,Supplier_2,Delhi,3633,17,190.18,Pending,0.0462,Sea,Route C,605.8,4.62,56.97
haircare,SKU00127,39.69,429,358,2635.03,169,9,422,7,Carrier B,167.41,Supplier_2,Delhi,2991,6,337.34,Pass,0.0284,Road,Route C,1846.6,2.84,22.67
cosmetics,SKU00128,157.23,495,359,2294.39,535,4,68,5,Carrier C,105.37,Supplier_4,Chennai,467,15,445.01,Pass,0.1171,Sea,Route A,1435.23,11.71,51.15
skincare,SKU00129,15.39,399,1532,7723.96,788,14,229,9,Carrier A,52.82,Supplier_4,Bangalore,3586,19,100.99,Fail,0.0455,Rail,Route A,1754.6,4.55,36.68
skincare,SKU00130,167.27,312,451,30322.65,671,10,32,6,Carrier B,8.31,Supplier_4,Kolkata,1890,7,212.64,Pass,0.0369,Rail,Route A,1290.99,3.69,27.52
haircare,SKU00131,254.75,431,1000,39089.1,312,20,484,13,Carrier A,47.24,Supplier_4,Chennai,4316,4,487.33,Pass,0.0432,Rail,Route B,251.11,4.32,44.33
haircare,SKU00132,29.9,402,1549,24044.2,283,2,484,13,Carrier A,136.63,Supplier_4,Delhi,2495,12,434.68,Pass,0.0346,Rail,Route C,824.69,3.46,15.16
skincare,SKU00133,85.91,244,1323,30726.4,227,10,383,8,Carrier A,147.9,Supplier_4,Bangalore,194,8,207.71,Pass,0.0201,Rail,Route B,1959.65,2.01,20.77
accessories,SKU00134,230.58,379,840,32163.41,281,26,275,9,Carrier A,74.08,Supplier_1,Kolkata,1898,19,193.87,Pending,0.0578,Rail,Route C,292.17,5.78,58.77
haircare,SKU00135,184.39,421,1467,1062.82,78,20,190,12,Carrier C,183.94,Supplier_2,Chennai,2847,8,411.64,Pending,0.0282,Sea,Route C,1088.14,2.82,38.31
skincare,SKU00136,97.28,16,39,12389.19,168,4,111,12,Carrier A,104.39,Supplier_1,Mumbai,875,1,60.43,Fail,0.0971,Road,Route A,1066.98,9.71,43.12
accessories,SKU00137,190.53,230,1213,49888.13,613,1,426,2,Carrier A,105.93,Supplier_3,Bangalore,2065,5,76.98,Pass,0.0155,Rail,Route A,901.31,1.55,6.06
accessories,SKU00138,139.14,468,697,16606.31,230,16,127,2,Carrier A,81.95,Supplier_4,Delhi,3980,3,294.12,Fail,0.0535,Road,Route A,597.27,5.35,42.75
haircare,SKU00139,259.4,131,395,47336.69,936,16,278,9,Carrier A,83.65,Supplier_5,Delhi,3477,2,292.81,Pass,0.1423,Road,Route A,651.55,14.23,78.42
haircare,SKU00140,91.42,307,356,24664.58,132,6,423,12,Carrier C,75.0,Supplier_5,Kolkata,1788,3,293.29,Pass,0.0687,Sea,Route B,447.04,6.87,34.57
cosmetics,SKU00141,228.53,240,1396,11205.57,881,27,359,3,Carrier B,165.81,Supplier_1,Delhi,2681,8,387.27,Pass,0.1338,Air,Route C,561.65,13.38,90.72
haircare,SKU00142,192.52,293,1925,220.52,843,1,190,11,Carrier C,90.84,Supplier_2,Bangalore,4782,10,443.03,Pass,0.0342,Sea,Route B,122.68,3.42,13.57
skincare,SKU00143,223.43,167,231,10955.77,588,28,443,12,Carrier A,50.12,Supplier_1,Chennai,1806,4,211.96,Pass,0.1179,Rail,Route C,1511.01,11.79,85.76
skincare,SKU00144,116.59,318,605,16143.0,277,1,57,8,Carrier C,89.88,Supplier_3,Chennai,3156,11,176.41,Pass,0.0129,Road,Route C,1792.02,1.29,5.02
accessories,SKU00145,218.85,383,539,22021.19,438,17,294,8,Carrier A,185.48,Supplier_1,Kolkata,133,1,427.83,Pass,0.1427,Air,Route C,479.76,14.27,80.01
haircare,SKU00146,211.04,369,981,22413.86,627,29,373,9,Carrier C,129.6,Supplier_5,Chennai,275,14,137.5,Pass,0.1443,Rail,Route A,162.27,14.43,97.79
cosmetics,SKU00147,119.31,415,896,27462.39,976,29,474,2,Carrier B,25.48,Supplier_5,Chennai,1622,17,440.05,Fail,0.1038,Road,Route A,799.24,10.38,81.53
