country_or_area,year,commodity,flow,trade_usd,weight_kg,quantity_name,quantity,category,trade_usd_billions
Nigeria,2023,Metals,Export,3384615840.0,42849527.0,Number of items,5190721.0,Food,3.3846
Brazil,2017,Textiles,Export,4168165350.0,11270691.0,Volume in liters,5610320.0,Chemicals,4.1682
India,2021,Metals,Export,2175240777.0,94665444.0,Weight in kg,1201360.0,Electronics,2.1752
India,2013,Vehicles,Import,8084557645.0,29927410.0,Number of items,9867822.0,Food,8.0846
Nigeria,2012,Fuel,Export,2955786899.0,84448515.0,Weight in kg,630987.0,Machinery,2.9558
Argentina,2013,Fuel,Export,6063951210.0,38288731.0,Number of items,5350374.0,Vehicles,6.064
UK,2017,Food,Import,7609246925.0,7127459.0,Weight in kg,13420.0,Vehicles,7.6092
France,2021,Chemicals,Import,1309608099.0,99378086.0,Weight in kg,1023021.0,Vehicles,1.3096
Nigeria,2011,Textiles,Import,9839521571.0,69752119.0,Volume in liters,152414.0,Pharmaceuticals,9.8395
India,2016,Pharmaceuticals,Import,779117847.0,77457653.0,Weight in kg,6063022.0,Food,0.7791
France,2023,Electronics,Import,5460253322.0,39798669.0,Volume in liters,3897251.0,Fuel,5.4603
France,2015,Machinery,Export,5733653179.0,70941744.0,Weight in kg,1805610.0,Electronics,5.7337
Australia,2021,Food,Import,4687709285.0,75232242.0,Volume in liters,6753087.0,Plastics,4.6877
USA,2015,Metals,Import,1114183143.0,49247663.0,Volume in liters,2517064.0,Fuel,1.1142
Argentina,2018,Food,Import,7299336617.0,32661054.0,Volume in liters,4025145.0,Plastics,7.2993
Mexico,2020,Plastics,Import,1149984801.0,8424469.0,Volume in liters,8608714.0,Metals,1.15
Germany,2018,Pharmaceuticals,Export,2637480077.0,66565128.0,Weight in kg,8589274.0,Pharmaceuticals,2.6375
Australia,2017,Pharmaceuticals,Import,1682603994.0,77293410.0,Number of items,2017224.0,Machinery,1.6826
India,2016,Fuel,Export,106687558.0,48690543.0,Volume in liters,4004003.0,Fuel,0.1067
Brazil,2010,Pharmaceuticals,Import,4380353166.0,7931323.0,Volume in liters,4945709.0,Textiles,4.3804
UK,2018,Electronics,Import,1007629630.0,73813462.0,Weight in kg,8384186.0,Electronics,1.0076
Australia,2017,Chemicals,Import,6353523690.0,63589102.0,Number of items,2405581.0,Machinery,6.3535
Brazil,2010,Plastics,Import,1833952456.0,26763158.0,Number of items,5966463.0,Food,1.834
China,2021,Textiles,Import,9285978699.0,65651383.0,Number of items,8921952.0,Pharmaceuticals,9.286
Mexico,2023,Fuel,Import,9588321851.0,87998262.0,Volume in liters,5358025.0,Electronics,9.5883
Germany,2019,Electronics,Export,185906379.0,90913924.0,Number of items,3801290.0,Electronics,0.1859
Argentina,2012,Vehicles,Export,3423196815.0,48413277.0,Weight in kg,4632397.0,Metals,3.4232
Nigeria,2010,Food,Export,9894251470.0,82613474.0,Weight in kg,4699446.0,Fuel,9.8943
UK,2014,Food,Import,3283851616.0,7513255.0,Number of items,5454496.0,Food,3.2839
France,2020,Textiles,Import,8600645604.0,39028810.0,Volume in liters,1610236.0,Textiles,8.6006
Germany,2013,Textiles,Import,8038366418.0,89171767.0,Weight in kg,9873648.0,Textiles,8.0384
Mexico,2016,Fuel,Import,3155253266.0,46533762.0,Number of items,6182939.0,Vehicles,3.1553
Brazil,2023,Vehicles,Export,5333183993.0,59194130.0,Weight in kg,759701.0,Plastics,5.3332
UK,2013,Chemicals,Import,6586096392.0,33249704.0,Weight in kg,8363034.0,Plastics,6.5861
India,2020,Food,Export,3236858751.0,22547805.0,Weight in kg,4679164.0,Machinery,3.2369
Japan,2016,Food,Export,8438713440.0,20544625.0,Number of items,5498548.0,Textiles,8.4387
Japan,2020,Vehicles,Export,4837767930.0,41723759.0,Weight in kg,3227874.0,Machinery,4.8378
USA,2022,Textiles,Export,7261478737.0,44182468.0,Weight in kg,9464456.0,Textiles,7.2615
India,2019,Vehicles,Import,9759316322.0,4943046.0,Volume in liters,2064782.0,Vehicles,9.7593
UK,2017,Vehicles,Export,283856664.0,11065839.0,Number of items,7505131.0,Plastics,0.2839
Germany,2021,Textiles,Import,7383929855.0,12059578.0,Volume in liters,5650649.0,Fuel,7.3839
Germany,2021,Machinery,Export,9333158294.0,92875987.0,Weight in kg,7630781.0,Fuel,9.3332
UK,2015,Metals,Import,3190485218.0,35835422.0,Volume in liters,4831188.0,Fuel,3.1905
Brazil,2023,Pharmaceuticals,Import,5565812835.0,76609800.0,Weight in kg,5983364.0,Machinery,5.5658
India,2014,Pharmaceuticals,Import,6423796385.0,14735420.0,Number of items,1343459.0,Machinery,6.4238
Argentina,2014,Textiles,Export,9402877630.0,23539787.0,Weight in kg,5153374.0,Vehicles,9.4029
France,2018,Vehicles,Import,8864004405.0,26785614.0,Volume in liters,3797104.0,Chemicals,8.864
UK,2017,Food,Export,228506751.0,13933806.0,Number of items,9791414.0,Plastics,0.2285
Brazil,2023,Vehicles,Export,7216285629.0,88964853.0,Weight in kg,369942.0,Chemicals,7.2163
Brazil,2014,Plastics,Import,3436895124.0,69117921.0,Weight in kg,1930503.0,Electronics,3.4369
Mexico,2017,Machinery,Export,6134862202.0,55880701.0,Number of items,4308072.0,Textiles,6.1349
France,2010,Electronics,Export,2918804188.0,97875728.0,Number of items,5185408.0,Electronics,2.9188
India,2013,Plastics,Export,6666814808.0,88709937.0,Number of items,6254815.0,Textiles,6.6668
USA,2014,Fuel,Export,3587150045.0,83229840.0,Volume in liters,9525145.0,Fuel,3.5872
Australia,2012,Textiles,Export,1382112434.0,64617981.0,Weight in kg,8535174.0,Metals,1.3821
UK,2011,Machinery,Import,8636056591.0,7249744.0,Weight in kg,119722.0,Chemicals,8.6361
Germany,2011,Machinery,Export,7473532462.0,62453995.0,Weight in kg,9391299.0,Metals,7.4735
Australia,2019,Electronics,Import,439288921.0,95304370.0,Weight in kg,1302904.0,Plastics,0.4393
Mexico,2016,Food,Export,360554729.0,98793866.0,Volume in liters,225201.0,Metals,0.3606
Australia,2018,Vehicles,Import,617009903.0,30654147.0,Number of items,2352925.0,Machinery,0.617
Argentina,2018,Electronics,Export,3602297212.0,14190116.0,Weight in kg,3276236.0,Pharmaceuticals,3.6023
India,2023,Textiles,Export,3452713206.0,15531748.0,Volume in liters,2448093.0,Chemicals,3.4527
India,2014,Food,Import,1603233934.0,67905626.0,Number of items,5258466.0,Pharmaceuticals,1.6032
Mexico,2012,Machinery,Export,6723713452.0,61129029.0,Number of items,8659367.0,Plastics,6.7237
Argentina,2017,Food,Import,1418352059.0,84063055.0,Weight in kg,6786195.0,Plastics,1.4184
Australia,2016,Plastics,Import,804274247.0,50477970.0,Number of items,3932094.0,Vehicles,0.8043
Japan,2015,Electronics,Import,5832923821.0,21220561.0,Weight in kg,6402612.0,Metals,5.8329
India,2012,Electronics,Export,5768490081.0,41509707.0,Weight in kg,9255805.0,Fuel,5.7685
UK,2019,Food,Export,7009853652.0,53231868.0,Number of items,4338878.0,Fuel,7.0099
Brazil,2014,Chemicals,Import,8104107070.0,3538348.0,Weight in kg,3509929.0,Metals,8.1041
India,2014,Pharmaceuticals,Export,2360983049.0,18550222.0,Weight in kg,4093206.0,Metals,2.361
France,2016,Pharmaceuticals,Import,1528078226.0,76053175.0,Volume in liters,1857753.0,Plastics,1.5281
Australia,2021,Fuel,Import,7815627374.0,177664.0,Weight in kg,9354774.0,Vehicles,7.8156
Japan,2011,Chemicals,Export,9284717696.0,88230855.0,Volume in liters,3815511.0,Pharmaceuticals,9.2847
France,2018,Machinery,Import,3882245362.0,68184658.0,Volume in liters,5192346.0,Textiles,3.8822
Japan,2021,Pharmaceuticals,Export,4308004224.0,67885879.0,Volume in liters,7493826.0,Pharmaceuticals,4.308
Japan,2016,Plastics,Export,1506176536.0,95030387.0,Number of items,199141.0,Pharmaceuticals,1.5062
India,2015,Textiles,Export,8458925879.0,50617284.0,Volume in liters,2121439.0,Pharmaceuticals,8.4589
France,2010,Fuel,Import,4296919876.0,80603477.0,Number of items,6578628.0,Vehicles,4.2969
France,2020,Electronics,Import,3514279947.0,80439400.0,Volume in liters,5962017.0,Machinery,3.5143
Mexico,2017,Metals,Import,9621939040.0,8913241.0,Number of items,2210791.0,Textiles,9.6219
India,2011,Metals,Export,1219753338.0,29871799.0,Weight in kg,6337213.0,Vehicles,1.2198
UK,2022,Electronics,Export,176591630.0,44588801.0,Volume in liters,1945760.0,Metals,0.1766
UK,2013,Electronics,Import,2521703642.0,11853138.0,Volume in liters,1993170.0,Metals,2.5217
India,2018,Vehicles,Import,3589684887.0,55607264.0,Number of items,1358487.0,Fuel,3.5897
Mexico,2018,Pharmaceuticals,Export,5006646129.0,57558015.0,Weight in kg,3668657.0,Fuel,5.0066
India,2023,Fuel,Import,7871246204.0,28048677.0,Number of items,4969879.0,Plastics,7.8712
UK,2020,Food,Import,2527985702.0,5567646.0,Volume in liters,3402200.0,Vehicles,2.528
UK,2014,Plastics,Import,6067710033.0,32839098.0,Weight in kg,211799.0,Plastics,6.0677
France,2017,Pharmaceuticals,Export,5214997496.0,41330067.0,Weight in kg,9204387.0,Plastics,5.215
Argentina,2014,Pharmaceuticals,Export,2403776320.0,15478483.0,Weight in kg,7176578.0,Pharmaceuticals,2.4038
Japan,2021,Metals,Import,4711544340.0,96967020.0,Weight in kg,7177959.0,Vehicles,4.7115
Germany,2018,Pharmaceuticals,Import,3713550686.0,30421015.0,Weight in kg,9499005.0,Textiles,3.7136
USA,2021,Vehicles,Export,5180280620.0,12819890.0,Number of items,3321225.0,Chemicals,5.1803
USA,2021,Electronics,Export,8903890540.0,61932248.0,Weight in kg,9041186.0,Metals,8.9039
India,2020,Chemicals,Export,302472533.0,63047572.0,Number of items,345045.0,Plastics,0.3025
France,2010,Electronics,Export,2983021096.0,31742347.0,Number of items,9170075.0,Pharmaceuticals,2.983
Japan,2013,Electronics,Export,4037122708.0,96299492.0,Volume in liters,7035268.0,Textiles,4.0371
China,2019,Textiles,Import,4107011297.0,12478062.0,Number of items,8529933.0,Plastics,4.107
China,2010,Fuel,Import,2681731290.0,8092200.0,Volume in liters,1384470.0,Chemicals,2.6817
Nigeria,2019,Metals,Import,5308369614.0,30838592.0,Number of items,4420562.0,Food,5.3084
USA,2019,Metals,Export,7440069072.0,54675543.0,Volume in liters,4879361.0,Plastics,7.4401
UK,2015,Vehicles,Export,927559531.0,36520723.0,Number of items,582206.0,Vehicles,0.9276
France,2011,Machinery,Export,1908512102.0,7324699.0,Volume in liters,7823726.0,Vehicles,1.9085
Mexico,2018,Electronics,Import,8823130610.0,70549433.0,Number of items,5904020.0,Fuel,8.8231
Germany,2013,Chemicals,Export,9134383909.0,36630251.0,Weight in kg,5866714.0,Vehicles,9.1344
Mexico,2013,Fuel,Export,6957721677.0,95226640.0,Number of items,6718447.0,Fuel,6.9577
Japan,2011,Pharmaceuticals,Import,4225730953.0,27714931.0,Weight in kg,4281166.0,Textiles,4.2257
